scenario,method,snr_db,omega_rad_per_frame,median_abs_error_rad,rmse_rad,p90_abs_error_rad,sign_error_rate,quality_mean,quality_median
awgn,kasai,-12.0,0.35,0.858261227607727,1.3580667972564697,2.4391331672668457,0.419921875,0.38562193512916565,0.3824743330478668
awgn,wls_origin,-12.0,0.35,0.2173628807067871,0.7980888485908508,1.5059597492218018,0.283203125,0.38562193512916565,0.3824743330478668
awgn,wls_free,-12.0,0.35,0.38413745164871216,0.8507506251335144,1.4817166328430176,0.3466796875,0.38562193512916565,0.3824743330478668
awgn,huber_wls,-12.0,0.35,0.21342416107654572,0.8100407719612122,1.5156042575836182,0.2724609375,0.38562193512916565,0.3824743330478668
awgn,leave_one_out,-12.0,0.35,0.23599305748939514,0.8154342770576477,1.5014334917068481,0.2763671875,0.38562193512916565,0.3824743330478668
awgn,circular_grid,-12.0,0.35,0.493055522441864,1.4104591608047485,2.6062755584716797,0.28515625,0.38562193512916565,0.3824743330478668
awgn,circular_refined,-12.0,0.35,0.507811427116394,1.408840537071228,2.5931825637817383,0.2861328125,0.38562193512916565,0.3824743330478668
awgn,circular_sign_wls,-12.0,0.35,0.2626628875732422,0.7853685617446899,1.4699145555496216,0.28515625,0.38562193512916565,0.3824743330478668
awgn,kasai,-12.0,0.8,0.7936685085296631,1.333470344543457,2.357635974884033,0.2880859375,0.4799764156341553,0.5438421368598938
awgn,wls_origin,-12.0,0.8,0.23902860283851624,0.9443476796150208,1.657059669494629,0.310546875,0.4799764156341553,0.5438421368598938
awgn,wls_free,-12.0,0.8,0.4241095185279846,1.0291043519973755,1.8629114627838135,0.32421875,0.4799764156341553,0.5438421368598938
awgn,huber_wls,-12.0,0.8,0.24521443247795105,0.952670156955719,1.6490709781646729,0.3115234375,0.4799764156341553,0.5438421368598938
awgn,leave_one_out,-12.0,0.8,0.25099343061447144,0.9566704630851746,1.6528565883636475,0.3115234375,0.4799764156341553,0.5438421368598938
awgn,circular_grid,-12.0,0.8,0.33748772740364075,1.3866868019104004,2.6325957775115967,0.2978515625,0.4799764156341553,0.5438421368598938
awgn,circular_refined,-12.0,0.8,0.3495893180370331,1.3852864503860474,2.626169443130493,0.296875,0.4799764156341553,0.5438421368598938
awgn,circular_sign_wls,-12.0,0.8,0.2452952265739441,0.9412240982055664,1.6587857007980347,0.2978515625,0.4799764156341553,0.5438421368598938
awgn,kasai,-12.0,1.35,0.8050417900085449,1.352957844734192,2.45106840133667,0.2548828125,0.46699467301368713,0.5319578647613525
awgn,wls_origin,-12.0,1.35,0.7644954323768616,1.2771576642990112,2.2734146118164062,0.328125,0.46699467301368713,0.5319578647613525
awgn,wls_free,-12.0,1.35,0.8422800302505493,1.3602122068405151,2.3845303058624268,0.357421875,0.46699467301368713,0.5319578647613525
awgn,huber_wls,-12.0,1.35,0.7504334449768066,1.2800301313400269,2.268563747406006,0.3291015625,0.46699467301368713,0.5319578647613525
awgn,leave_one_out,-12.0,1.35,0.7476717233657837,1.2795789241790771,2.2774176597595215,0.33203125,0.46699467301368713,0.5319578647613525
awgn,circular_grid,-12.0,1.35,0.4424288272857666,1.3941997289657593,2.588143825531006,0.2998046875,0.46699467301368713,0.5319578647613525
awgn,circular_refined,-12.0,1.35,0.44576889276504517,1.392688512802124,2.5839178562164307,0.298828125,0.46699467301368713,0.5319578647613525
awgn,circular_sign_wls,-12.0,1.35,0.7698847055435181,1.2759451866149902,2.2815892696380615,0.2998046875,0.46699467301368713,0.5319578647613525
awgn,kasai,-6.0,0.35,0.2525651156902313,0.5024794340133667,0.7145267724990845,0.1865234375,0.641329824924469,0.7213529348373413
awgn,wls_origin,-6.0,0.35,0.03336778283119202,0.1365167498588562,0.09651361405849457,0.0107421875,0.641329824924469,0.7213529348373413
awgn,wls_free,-6.0,0.35,0.07581935822963715,0.19153618812561035,0.2242061048746109,0.0234375,0.641329824924469,0.7213529348373413
awgn,huber_wls,-6.0,0.35,0.032207995653152466,0.13666993379592896,0.09667336940765381,0.0078125,0.641329824924469,0.7213529348373413
awgn,leave_one_out,-6.0,0.35,0.03774097561836243,0.14276985824108124,0.11243083328008652,0.0078125,0.641329824924469,0.7213529348373413
awgn,circular_grid,-6.0,0.35,0.03397244215011597,0.2726507782936096,0.09505897760391235,0.005859375,0.641329824924469,0.7213529348373413
awgn,circular_refined,-6.0,0.35,0.033162012696266174,0.27168846130371094,0.0955088883638382,0.0068359375,0.641329824924469,0.7213529348373413
