roi,estimator,n_pixels,true_mean_mm_s,estimate_mean_mm_s,bias_mm_s,mae_mm_s,median_abs_error_mm_s,p90_abs_error_mm_s,rmse_mm_s,rmse_percent_peak_115mm_s,pearson_r,fit_slope_est_vs_true,fit_intercept_mm_s,sign_agreement_true_ge_5mm_s
envelope,Kasai CD,2791,62.13505365150951,52.98425311008929,-9.15080054142022,9.170440289548736,8.205520920455456,16.342362388968468,10.398871960244481,9.042497356734332,0.9943803341525146,1.099352637641988,-15.324082011724133,0.9889746416758545
envelope,multi-lag CD,2791,62.13505365150951,56.87772362868503,-5.257330022824481,5.500643763923136,2.060752362012863,15.714460983872414,8.265173469376094,7.187107364674865,0.9940535810920845,1.1527877793970378,-14.750806892954422,0.99191473722896
center_core,Kasai CD,1279,91.99505972736418,86.80117033579276,-5.1938893915714,5.1938893915714,4.930227994918823,7.830186188220978,5.504177144412272,4.786240995141106,0.9990770228327615,1.1262814807890575,-16.81116175922068,1.0
center_core,multi-lag CD,1279,91.99505972736418,92.09093270332576,0.09587297596159719,0.40511672761498063,0.33564120531082153,0.795416533946991,0.517107046106241,0.4496583009619487,0.9995345347427204,1.0212430180677352,-1.8583797399690911,1.0
edge_only,Kasai CD,1512,36.87649031088907,24.37854072141552,-12.497949589473553,12.53420259015258,13.180980226024985,17.214687354862694,13.190217463031134,11.469754315679245,0.9754006844171886,0.9615866870884376,-11.08140142808117,0.9791955617198336
edge_only,multi-lag CD,1512,36.87649031088907,27.090888703773988,-9.785601607115083,9.810947387890153,10.096623562276363,16.82439157739282,11.219309604425094,9.755921395152255,0.9722338988434899,1.1070923384389584,-13.734791187929764,0.984743411927878
high_velocity_ge_50mm_s,Kasai CD,1744,83.24592186719043,76.51917639812199,-6.726745469068442,6.726745469068442,6.081938743591309,11.552275344729425,7.415955134549332,6.44865663873855,0.9990468249729385,1.1587368086778114,-19.940937441708652,1.0
high_velocity_ge_50mm_s,multi-lag CD,1744,83.24592186719043,82.18976193953544,-1.0561599276549771,1.4235715279270202,0.49225613474845886,4.84614409506321,2.507474562851225,2.180412663348891,0.9976445248128195,1.0951812933525469,-8.979614437299205,1.0
