dataset,roi,truth,estimator,estimator_sign_multiplier,n_pixels,true_mean_mm_s,true_median_mm_s,estimate_mean_mm_s,estimate_median_mm_s,bias_mm_s,mae_mm_s,median_abs_error_mm_s,p90_abs_error_mm_s,rmse_mm_s,pearson_r,rmse_percent_reference_peak,fit_slope_est_vs_true,fit_intercept_mm_s,sign_agreement_true_ge_1mm_s
zenodo_4343435,raw_positions_count_ge_5,physical_unwrapped_velocity,SVD W=3 adjacent,1.0,1171,4.167627060027166,0.14264773926697671,1.0641025568282108,0.47948432620614767,-3.103524503198955,16.272233461912965,10.000745300203562,40.0473028421402,22.888719670635336,0.14281227136668168,,0.04606763570384829,0.8721098316773791,0.3785140562248996
zenodo_4343435,raw_positions_count_ge_5,aliased_phase_velocity,SVD W=4 phase-slope,-1.0,1171,0.15376932862852669,0.016717001926735975,-0.2457094904379279,0.1927918056026101,-0.39947881906645455,5.145181698580881,1.879833173006773,19.06995801255107,8.75170120982272,0.19431676523764635,71.03653579401559,0.19516699521438954,-0.2757201882624915,0.7265221878224974
zenodo_4343435,raw_positions_count_ge_5,physical_unwrapped_velocity,SVD W=4 phase-slope,1.0,1171,4.167627060027166,0.14264773926697671,0.2457094904379279,-0.1927918056026101,-3.921917569589238,16.92719040234211,10.030869394540787,39.91315048187971,23.530293741021683,0.056399391465439014,,0.017268045191281334,0.1737427180249719,0.3273092369477912
zenodo_4343435,raw_positions_count_ge_5,aliased_phase_velocity,SVD W=4 adjacent,-1.0,1171,0.15376932862852669,0.016717001926735975,-0.1430073755854583,0.15846220776438713,-0.296776704213985,5.297931310792786,1.8489728681743145,20.496010780334473,9.114374206325516,0.1626768692658976,73.98031011627855,0.17046873688271036,-0.1692202388080657,0.7306501547987616
zenodo_4343435,raw_positions_count_ge_5,physical_unwrapped_velocity,SVD W=4 adjacent,1.0,1171,4.167627060027166,0.14264773926697671,0.1430073755854583,-0.15846220776438713,-4.024619684441707,17.01203295978356,9.997674264013767,39.903062395751476,23.661135333755865,0.05054510684813725,,0.016146214259887572,0.0757159761189542,0.3373493975903614
zenodo_4343435,target_nearest,aliased_phase_velocity,Kasai CD,-1.0,4393,0.13805487905353941,-0.01491156672273064,0.8611497616806624,0.4919398343190551,0.723094882627123,4.937077837311085,1.8562767654657364,18.914510961622003,8.404434168129544,0.25707702932019,68.21780980624631,0.27338792322299066,0.823407225005415,0.7354744525547445
zenodo_4343435,target_nearest,physical_unwrapped_velocity,Kasai CD,1.0,4393,3.415761205186198,0.14154826931189746,-0.8611497616806624,-0.4919398343190551,-4.27691096686686,13.71303149178481,9.17749758809805,34.38789676874876,19.205937295820966,0.06883203270107942,,0.027312853469346955,-0.9544439469641928,0.3629101283880171
zenodo_4343435,target_nearest,aliased_phase_velocity,multi-lag v_phi,-1.0,4393,0.13805487905353941,-0.01491156672273064,0.7175910618732151,0.8276369771920145,0.5795361828196757,4.892105698842252,2.5753965601325035,13.416818296536807,7.27825216804847,0.16295327519711997,59.076722143250585,0.10226444550135508,0.7034729562180491,0.6875912408759124
zenodo_4343435,target_nearest,physical_unwrapped_velocity,multi-lag v_phi,-1.0,4393,3.415761205186198,0.14154826931189746,0.7175910618732151,0.8276369771920145,-2.6981701433129834,11.738598486355398,5.95838762819767,28.05276419967413,18.26092356096662,0.061378876043667895,,0.01437278510016351,0.668497060117598,0.6838801711840228
zenodo_4343435,target_nearest,aliased_phase_velocity,SVD W=3 phase-slope,-1.0,4393,0.13805487905353941,-0.01491156672273064,0.9900125889968497,0.49377273535355926,0.8519577099433103,4.96417233842295,1.7648257780820131,19.967935234308243,8.598235784951473,0.2116386274480155,69.79087487785289,0.22170892729386854,0.9594045898542056,0.7351824817518248
zenodo_4343435,target_nearest,physical_unwrapped_velocity,SVD W=3 phase-slope,1.0,4393,3.415761205186198,0.14154826931189746,-0.9900125889968497,-0.49377273535355926,-4.405773794183048,13.739680838229875,9.214479010552168,35.2944202721119,19.39885136035699,0.03844456468946353,,0.015027392111797261,-1.0413425719874472,0.34293865905848786
zenodo_4343435,target_nearest,aliased_phase_velocity,SVD W=3 adjacent,-1.0,4393,0.13805487905353941,-0.01491156672273064,0.9843948567273292,0.4948876448906958,0.8463399776737898,4.954848571622952,1.7546843737363815,19.983037747442726,8.59151176648437,0.21404780442260252,69.73629680587963,0.22457287533892387,0.9533914755837092,0.7363503649635037
zenodo_4343435,target_nearest,physical_unwrapped_velocity,SVD W=3 adjacent,1.0,4393,3.415761205186198,0.14154826931189746,-0.9843948567273292,-0.4948876448906958,-4.400156061913528,13.728515351484038,9.200607426464558,35.294418968260295,19.391744110277536,0.03988774465015236,,0.01561515967778723,-1.0377325133675024,0.34407988587731814
zenodo_4343435,target_nearest,aliased_phase_velocity,SVD W=4 phase-slope,-1.0,4393,0.13805487905353941,-0.01491156672273064,1.1279379074023086,0.8399164653383195,0.9898830283487693,5.0467064794819905,1.7817206680774689,19.262102432549003,8.568440375006901,0.17436480476696162,69.54902901791317,0.17281949812328948,1.1040793324908058,0.7237956204379562
zenodo_4343435,target_nearest,physical_unwrapped_velocity,SVD W=4 phase-slope,-1.0,4393,3.415761205186198,0.14154826931189746,1.1279379074023086,0.8399164653383195,-2.2878232977838895,11.863577084824943,4.342893254943192,30.962298484519135,19.222948081370742,-0.012427433334533741,,-0.00459595513361911,1.1436365926485008,0.6716119828815977
zenodo_4343435,target_nearest,aliased_phase_velocity,SVD W=4 adjacent,-1.0,4393,0.13805487905353941,-0.01491156672273064,1.2192611629712313,0.7422800990752876,1.081206283917692,5.139478792002381,1.7702332406770438,20.300088264048103,8.783029837905008,0.15899443038336694,71.29082660637182,0.1622222665399737,1.1968655875842655,0.7235036496350365
zenodo_4343435,target_nearest,physical_unwrapped_velocity,SVD W=4 adjacent,-1.0,4393,3.415761205186198,0.14154826931189746,1.2192611629712313,0.7422800990752876,-2.196500042214967,11.806834915662346,4.330749317887239,31.205123942345384,19.213760157640614,-0.001578632557141297,,-0.0006009938608490527,1.2213140144856744,0.6696148359486448
